concept_name,concept_code,source_concept_id,source_vocabulary_id,source_domain_id,source_concept_class_id,target_concept_id,relationship_id,reverese_relationship_id,concept_name_con,domain_id,vocab_id,concept_class_id,standard
prednisolone 5 MG/ML Oral Solution [Prelone],Prelone 15 mg/5 mL Oral Soln,2000010845,mimiciv_drug_ndc,Drug,Prescription Drug,19128781,Maps to,Mapped from,prednisolone 5 MG/ML Oral Solution [Prelone],Drug,RxNorm,Branded Drug,S
ezetimibe 10 MG / Simvastatin 40 MG [Vytorin],Vytorin 10-40 10 mg-40 mg Tab,2000010846,mimiciv_drug_ndc,Drug,Prescription Drug,42706208,Maps to,Mapped from,ezetimibe 10 MG / simvastatin 40 MG [Vytorin],Drug,RxNorm,Branded Drug Comp,S
prednisolone 20 MG,Prednisolone 20,2000010847,mimiciv_drug_ndc,Drug,Prescription Drug,19092830,Maps to,Mapped from,prednisolone 20 MG,Drug,RxNorm,Clinical Drug Comp,S
Zanamivir 5 MG/ACTUAT,Zanamivir 5 mg,2000010848,mimiciv_drug_ndc,Drug,Prescription Drug,1708749,Maps to,Mapped from,zanamivir 5 MG/ACTUAT,Drug,RxNorm,Clinical Drug Comp,S
Triazolam 0.125 MG [Halcion],Halcion .125,2000010849,mimiciv_drug_ndc,Drug,Prescription Drug,19088618,Maps to,Mapped from,triazolam 0.125 MG [Halcion],Drug,RxNorm,Branded Drug Comp,S
Secretin 0.016 MG,Secretin 16mcg,2000010850,mimiciv_drug_ndc,Drug,Prescription Drug,21149250,Maps to,Mapped from,Secretin 0.016 MG,Drug,RxNorm Extension,Clinical Drug Comp,S
Calcium Gluconate,Calcium Gluconate,2000010851,mimiciv_drug_ndc,Drug,Prescription Drug,19037038,Maps to,Mapped from,calcium gluconate,Drug,RxNorm,Ingredient,S
varenicline 0.5 MG Oral Tablet [Chantix],Chantix 0.5 mg Tab,2000010852,mimiciv_drug_ndc,Drug,Prescription Drug,780447,Maps to,Mapped from,varenicline 0.5 MG Oral Tablet [Chantix],Drug,RxNorm,Branded Drug,S
Hydralazine,HydrALAZINE,2000010853,mimiciv_drug_ndc,Drug,Prescription Drug,1373928,Maps to,Mapped from,hydralazine,Drug,RxNorm,Ingredient,S
Levalbuterol 0.045 MG/ACTUAT Metered Dose Inhaler [Xopenex],Xopenex HFA 45 mcg/Actuation Aerosol Inhaler,2000010854,mimiciv_drug_ndc,Drug,Prescription Drug,42902352,Maps to,Mapped from,levalbuterol 0.045 MG/ACTUAT Metered Dose Inhaler [Xopenex],Drug,RxNorm,Branded Drug,S
dalfampridine 10 MG [Ampyra],Ampyra 10mg,2000010855,mimiciv_drug_ndc,Drug,Prescription Drug,40170684,Maps to,Mapped from,dalfampridine 10 MG [Ampyra],Drug,RxNorm,Branded Drug Comp,S
Lactobacillus acidophilus,Acidophilus 175mg,2000010856,mimiciv_drug_ndc,Drug,Prescription Drug,987153,Maps to,Mapped from,Lactobacillus acidophilus,Drug,RxNorm,Ingredient,S
Midazolam,MIDAZOLAM,2000010857,mimiciv_drug_ndc,Drug,Prescription Drug,708298,Maps to,Mapped from,midazolam,Drug,RxNorm,Ingredient,S
tipranavir Oral Capsule [Aptivus],Aptivus 500 mg,2000010858,mimiciv_drug_ndc,Drug,Prescription Drug,40130101,Maps to,Mapped from,tipranavir Oral Capsule [Aptivus],Drug,RxNorm,Branded Drug Form,S
Sodium Chloride Prefilled Syringe,Sodium Chloride  Syringe,2000010859,mimiciv_drug_ndc,Drug,Prescription Drug,40141424,Maps to,Mapped from,sodium chloride Prefilled Syringe,Drug,RxNorm,Clinical Drug Form,S
Lactase 3000 UNT [Lactaid],Lactaid 3000 unit,2000010860,mimiciv_drug_ndc,Drug,Prescription Drug,19027640,Maps to,Mapped from,lactase 3000 UNT [Lactaid],Drug,RxNorm,Branded Drug Comp,S
travoprost 0.04 MG/ML [Travatan],Travatan Z 0.004 %,2000010861,mimiciv_drug_ndc,Drug,Prescription Drug,19120802,Maps to,Mapped from,travoprost 0.04 MG/ML [Travatan],Drug,RxNorm,Branded Drug Comp,S
{21 (Ethinyl Estradiol 0.035 MG / ethynodiol 1 MG Oral Tablet) / 7 (Inert Ingredients 1 MG Oral Tablet) } Pack [Zovia 1/35E 28 Day],Zovia 1/35E (28) 1,2000010862,mimiciv_drug_ndc,Drug,Prescription Drug,19127907,Maps to,Mapped from,{21 (ethinyl estradiol 0.035 MG / ethynodiol diacetate 1 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack [Zovia 1/35E 28 Day],Drug,RxNorm,Branded Pack,S
Treprostinil 0.6 MG/ML [Tyvaso],Tyvaso 1.74mg/2.9 ml 0.6mg/ml,2000010863,mimiciv_drug_ndc,Drug,Prescription Drug,40165308,Maps to,Mapped from,treprostinil 0.6 MG/ML [Tyvaso],Drug,RxNorm,Branded Drug Comp,S
milk thistle extract,Milk Thistle Extract 250 mg capsule,2000010864,mimiciv_drug_ndc,Drug,Prescription Drug,1304277,Maps to,Mapped from,milk thistle extract,Drug,RxNorm,Ingredient,S
norethindrone acetate 5 MG,norethindrone acetate 5 mg Tab,2000010865,mimiciv_drug_ndc,Drug,Prescription Drug,40224821,Maps to,Mapped from,norethindrone acetate 5 MG,Drug,RxNorm,Clinical Drug Comp,S
Carbidopa Oral Tablet [Lodosyn],Lodosyn TAB,2000010866,mimiciv_drug_ndc,Drug,Prescription Drug,40021550,Maps to,Mapped from,carbidopa Oral Tablet [Lodosyn],Drug,RxNorm,Branded Drug Form,S
Folic Acid / Vitamin B 12 / Vitamin B6 Oral Tablet [Foltx],Foltx 2.5 mg-25 mg-1 mg Oral Tab,2000010867,mimiciv_drug_ndc,Drug,Prescription Drug,40141793,Maps to,Mapped from,folic acid / vitamin B12 / vitamin B6 Oral Tablet [Foltx],Drug,RxNorm,Branded Drug Form,S
miconazole,Miconazole  200mg/supp,2000010868,mimiciv_drug_ndc,Drug,Prescription Drug,907879,Maps to,Mapped from,miconazole,Drug,RxNorm,Ingredient,S
Saccharomyces boulardii Oral Powder [Florastor],Florastor CAP,2000010869,mimiciv_drug_ndc,Drug,Prescription Drug,35606351,Maps to,Mapped from,Saccharomyces boulardii Oral Powder [Florastor],Drug,RxNorm,Branded Drug Form,S
Prednisone,Prednisone 5MG /ML ORAL CONCENTRATE,2000010870,mimiciv_drug_ndc,Drug,Prescription Drug,1551099,Maps to,Mapped from,prednisone,Drug,RxNorm,Ingredient,S
rasagiline 1 MG [Azilect],AZILECT 1 mg,2000010871,mimiciv_drug_ndc,Drug,Prescription Drug,19089084,Maps to,Mapped from,rasagiline 1 MG [Azilect],Drug,RxNorm,Branded Drug Comp,S
"Estrogens, Conjugated (USP) / Medroxyprogesterone Oral Tablet [Prempro]",Prempro 1 tab,2000010872,mimiciv_drug_ndc,Drug,Prescription Drug,40037961,Maps to,Mapped from,"estrogens, conjugated (USP) / medroxyprogesterone Oral Tablet [Prempro]",Drug,RxNorm,Branded Drug Form,S
brinzolamide Ophthalmic Suspension [Azopt],BRINZOLAMIDE (Azopt) 1% OPTH SUSPENSION,2000010873,mimiciv_drug_ndc,Drug,Prescription Drug,40092484,Maps to,Mapped from,brinzolamide Ophthalmic Suspension [Azopt],Drug,RxNorm,Branded Drug Form,S
exemestane Oral Tablet [Aromasin],Aromasin Exemestane,2000010874,mimiciv_drug_ndc,Drug,Prescription Drug,40054618,Maps to,Mapped from,exemestane Oral Tablet [Aromasin],Drug,RxNorm,Branded Drug Form,S
Metformin hydrochloride 500 MG [Fortamet],metformin (FORTAMET) 500mg TAB,2000010875,mimiciv_drug_ndc,Drug,Prescription Drug,40164931,Maps to,Mapped from,metformin hydrochloride 500 MG [Fortamet],Drug,RxNorm,Branded Drug Comp,S
"Insulin, Aspart, Human 100 UNT/ML [NovoLog]",Novolog 100u/ml-10ml x 2,2000010876,mimiciv_drug_ndc,Drug,Prescription Drug,19005729,Maps to,Mapped from,"insulin aspart, human 100 UNT/ML [NovoLog]",Drug,RxNorm,Branded Drug Comp,S
Phenylephrine,PHENYLEPHRINE HCL,2000010877,mimiciv_drug_ndc,Drug,Prescription Drug,1135766,Maps to,Mapped from,phenylephrine,Drug,RxNorm,Ingredient,S
Levobupivacaine 0.5 MG/ML,Bupivacaine 0.05% 250 mL Bag,2000010878,mimiciv_drug_ndc,Drug,Prescription Drug,19100871,Maps to,Mapped from,levobupivacaine 0.5 MG/ML,Drug,RxNorm,Clinical Drug Comp,S
Potassium,Potassium Chloride 20mEq/50ml Premix,2000010879,mimiciv_drug_ndc,Drug,Prescription Drug,19049024,Maps to,Mapped from,potassium,Drug,RxNorm,Ingredient,S
Acetic Acid,Acetic Acid 0.04%,2000010880,mimiciv_drug_ndc,Drug,Prescription Drug,929549,Maps to,Mapped from,acetic acid,Drug,RxNorm,Ingredient,S
Hydrochlorothiazide 12.5 MG / irbesartan 150 MG [Avalide],Avalide 150/12.5MG,2000010881,mimiciv_drug_ndc,Drug,Prescription Drug,19042651,Maps to,Mapped from,hydrochlorothiazide 12.5 MG / irbesartan 150 MG [Avalide],Drug,RxNorm,Branded Drug Comp,S
"Estrogens, Conjugated (USP) / Medroxyprogesterone Oral Tablet [Prempro]",Prempro 1,2000010882,mimiciv_drug_ndc,Drug,Prescription Drug,40037961,Maps to,Mapped from,"estrogens, conjugated (USP) / medroxyprogesterone Oral Tablet [Prempro]",Drug,RxNorm,Branded Drug Form,S
Fenofibrate 200 MG,fenofibrate 200mg,2000010883,mimiciv_drug_ndc,Drug,Prescription Drug,1551865,Maps to,Mapped from,fenofibrate 200 MG,Drug,RxNorm,Clinical Drug Comp,S
levalbuterol,Levalbuterol HCl 1.25 mg,2000010884,mimiciv_drug_ndc,Drug,Prescription Drug,1192218,Maps to,Mapped from,levalbuterol,Drug,RxNorm,Ingredient,S
Alfuzosin hydrochloride 10 MG [UroXatral],UROXATRAL 10 mg,2000010885,mimiciv_drug_ndc,Drug,Prescription Drug,40164026,Maps to,Mapped from,alfuzosin hydrochloride 10 MG [UroXatral],Drug,RxNorm,Branded Drug Comp,S
imatinib,Imatinib 400MG/20ML,2000010886,mimiciv_drug_ndc,Drug,Prescription Drug,1304107,Maps to,Mapped from,imatinib,Drug,RxNorm,Ingredient,S
enfuvirtide 90 MG,Enfuvirtide 90MG,2000010887,mimiciv_drug_ndc,Drug,Prescription Drug,35603887,Maps to,Mapped from,enfuvirtide 90 MG,Drug,RxNorm,Clinical Drug Comp,S
Benzoyl Peroxide,Benzoyl Peroxide 5% wash,2000010888,mimiciv_drug_ndc,Drug,Prescription Drug,918172,Maps to,Mapped from,benzoyl peroxide,Drug,RxNorm,Ingredient,S
Chondroitin Sulfates / Glucosamine Oral Tablet,Glucosamine Chondroitin SMConc tablet,2000010889,mimiciv_drug_ndc,Drug,Prescription Drug,40131393,Maps to,Mapped from,chondroitin sulfates / glucosamine Oral Tablet,Drug,RxNorm,Clinical Drug Form,S
tegaserod 6 MG [Zelnorm],Zelnorm (tegaserod) 6 mg,2000010890,mimiciv_drug_ndc,Drug,Prescription Drug,19026178,Maps to,Mapped from,tegaserod 6 MG [Zelnorm],Drug,RxNorm,Branded Drug Comp,S
risedronate sodium 35 MG Oral Tablet,Risedronate Sodium 35MG tAB,2000010891,mimiciv_drug_ndc,Drug,Prescription Drug,40174494,Maps to,Mapped from,risedronate sodium 35 MG Oral Tablet,Drug,RxNorm,Clinical Drug,S
Bumetanide,Bumetanide 1 Syringe,2000010892,mimiciv_drug_ndc,Drug,Prescription Drug,932745,Maps to,Mapped from,bumetanide,Drug,RxNorm,Ingredient,S
Tetrabenazine 25 MG Oral Tablet [Xenazine],tetrabenazine (Xenazine) 25mg tab 25 mg Tab,2000010893,mimiciv_drug_ndc,Drug,Prescription Drug,19131890,Maps to,Mapped from,tetrabenazine 25 MG Oral Tablet [Xenazine],Drug,RxNorm,Branded Drug,S
Ascorbic Acid / Beta Carotene / cuprous oxide / Lutein / sodium selenate / Vitamin E / Zinc Oxide Oral Tablet [Ocuvite],Ocuvite 1 cap,2000010894,mimiciv_drug_ndc,Drug,Prescription Drug,40169429,Maps to,Mapped from,ascorbic acid / beta carotene / cuprous oxide / lutein / sodium selenate / vitamin E / zinc oxide Oral Tablet [Ocuvite],Drug,RxNorm,Branded Drug Form,S
Flecainide Acetate 150 MG,Flecainide Acetate 150mg TAB,2000010895,mimiciv_drug_ndc,Drug,Prescription Drug,40169049,Maps to,Mapped from,flecainide acetate 150 MG,Drug,RxNorm,Clinical Drug Comp,S
trolamine salicylate 100 MG/ML Topical Cream [Aspercreme],Aspercreme  10% cream,2000010896,mimiciv_drug_ndc,Drug,Prescription Drug,40239393,Maps to,Mapped from,trolamine salicylate 100 MG/ML Topical Cream [Aspercreme],Drug,RxNorm,Branded Drug,S
everolimus 5 MG Oral Tablet,Everolimus 5 mg Tab,2000010897,mimiciv_drug_ndc,Drug,Prescription Drug,19135083,Maps to,Mapped from,everolimus 5 MG Oral Tablet,Drug,RxNorm,Clinical Drug,S
Cefazolin 1000 MG,Cefazolin 1g Froz.Bag,2000010898,mimiciv_drug_ndc,Drug,Prescription Drug,46287336,Maps to,Mapped from,cefazolin 1000 MG,Drug,RxNorm,Clinical Drug Comp,S
ezetimibe 10 MG [Zetia],Zetia 10mg,2000010899,mimiciv_drug_ndc,Drug,Prescription Drug,19120997,Maps to,Mapped from,ezetimibe 10 MG [Zetia],Drug,RxNorm,Branded Drug Comp,S
exenatide 0.01 MG/ACTUAT [Byetta],Byetta (Exenatide) 10mcg/dose,2000010900,mimiciv_drug_ndc,Drug,Prescription Drug,19083253,Maps to,Mapped from,exenatide 0.01 MG/ACTUAT [Byetta],Drug,RxNorm,Branded Drug Comp,S
Colesevelam hydrochloride 625 MG Oral Tablet [Welchol],Colesevelam (WelChol) 625mg tablet,2000010901,mimiciv_drug_ndc,Drug,Prescription Drug,40167021,Maps to,Mapped from,colesevelam hydrochloride 625 MG Oral Tablet [Welchol],Drug,RxNorm,Branded Drug,S
Ethinyl Estradiol 0.035 MG / norgestimate 0.25 MG [Ortho Cyclen],Ortho Tri-Cyclen (28) 0.18/0.215/0.25-35 mg,2000010902,mimiciv_drug_ndc,Drug,Prescription Drug,19118232,Maps to,Mapped from,ethinyl estradiol 0.035 MG / norgestimate 0.25 MG [Ortho Cyclen],Drug,RxNorm,Branded Drug Comp,S
Felodipine 5 MG,Felodipine 5m,2000010903,mimiciv_drug_ndc,Drug,Prescription Drug,1353817,Maps to,Mapped from,felodipine 5 MG,Drug,RxNorm,Clinical Drug Comp,S
Guaifenesin 1200 MG Oral Tablet,Guaifenesin DM table 1200mg,2000010904,mimiciv_drug_ndc,Drug,Prescription Drug,19096732,Maps to,Mapped from,guaifenesin 1200 MG Oral Tablet,Drug,RxNorm,Clinical Drug,S
Potassium Chloride 20 MEQ Extended Release Oral Tablet,Potassium Chloride Replacement (Oncology) 20mEq Tablet,2000010905,mimiciv_drug_ndc,Drug,Prescription Drug,19049106,Maps to,Mapped from,potassium chloride 20 MEQ Extended Release Oral Tablet,Drug,RxNorm,Clinical Drug,S
Levalbuterol 0.045 MG/ACTUAT [Xopenex],Xopenex HFA 45mcg/actuation,2000010906,mimiciv_drug_ndc,Drug,Prescription Drug,19124105,Maps to,Mapped from,levalbuterol 0.045 MG/ACTUAT [Xopenex],Drug,RxNorm,Branded Drug Comp,S
Carisoprodol 350 MG Oral Tablet [Soma],Carisoprodol (Soma) 350 mg Oral Tab,2000010907,mimiciv_drug_ndc,Drug,Prescription Drug,749936,Maps to,Mapped from,carisoprodol 350 MG Oral Tablet [Soma],Drug,RxNorm,Branded Drug,S
cadexomer iodine 0.009 MG/MG [Iodosorb],Iodosorb cadexomer iodine 0.9%,2000010908,mimiciv_drug_ndc,Drug,Prescription Drug,19125467,Maps to,Mapped from,cadexomer iodine 0.009 MG/MG [Iodosorb],Drug,RxNorm,Branded Drug Comp,S
sitagliptin 100 MG Oral Tablet [Januvia],JANUVIA 100 mg Tab,2000010909,mimiciv_drug_ndc,Drug,Prescription Drug,19125043,Maps to,Mapped from,sitagliptin 100 MG Oral Tablet [Januvia],Drug,RxNorm,Branded Drug,S
ramelteon 8 MG [Rozerem],Rozerem 8 mg,2000010910,mimiciv_drug_ndc,Drug,Prescription Drug,19122505,Maps to,Mapped from,ramelteon 8 MG [Rozerem],Drug,RxNorm,Branded Drug Comp,S
°C,°C,2000029006,mimiciv_meas_unit,Unit,Unit,586323,Maps to,Mapped from,degree Celsius,Unit,UCUM,Unit,S
Vemurafenib 240 MG Oral Tablet [Zelboraf],Zelboraf 240 mg Tab,2000010911,mimiciv_drug_ndc,Drug,Prescription Drug,40241940,Maps to,Mapped from,vemurafenib 240 MG Oral Tablet [Zelboraf],Drug,RxNorm,Branded Drug,S
Ascorbic Acid / Beta Carotene / cuprous oxide / Vitamin E / Zinc Oxide Oral Tablet [PreserVision],PreserVision 226 mg-200 unit-5 mg Cap,2000010912,mimiciv_drug_ndc,Drug,Prescription Drug,40169433,Maps to,Mapped from,ascorbic acid / beta carotene / cuprous oxide / vitamin E / zinc oxide Oral Tablet [PreserVision],Drug,RxNorm,Branded Drug Form,S
Epoetin Alfa 10000 UNT/ML,"Epoetin Alfa 10,000 UNIT VIAL",2000010913,mimiciv_drug_ndc,Drug,Prescription Drug,1301175,Maps to,Mapped from,epoetin alfa 10000 UNT/ML,Drug,RxNorm,Clinical Drug Comp,S
Milnacipran hydrochloride 100 MG Oral Tablet [Savella],Savella 100 mg Tab,2000010914,mimiciv_drug_ndc,Drug,Prescription Drug,19080251,Maps to,Mapped from,milnacipran hydrochloride 100 MG Oral Tablet [Savella],Drug,RxNorm,Branded Drug,S
Tacrolimus 0.5 MG,TACROLIMUS 0.5MG,2000010915,mimiciv_drug_ndc,Drug,Prescription Drug,19085134,Maps to,Mapped from,tacrolimus 0.5 MG,Drug,RxNorm,Clinical Drug Comp,S
Fluoxymesterone 10 MG,fluoxymesterone 10mg,2000010916,mimiciv_drug_ndc,Drug,Prescription Drug,1555927,Maps to,Mapped from,fluoxymesterone 10 MG,Drug,RxNorm,Clinical Drug Comp,S
Betamethasone 0.0005 MG/MG / calcipotriene 0.00005 MG/MG Topical Ointment [Taclonex],Taclonex 0.05 % (0.064%)-0.005 % Ointment,2000010917,mimiciv_drug_ndc,Drug,Prescription Drug,908984,Maps to,Mapped from,betamethasone 0.0005 MG/MG / calcipotriene 0.00005 MG/MG Topical Ointment [Taclonex],Drug,RxNorm,Branded Drug,S
insulin detemir 100 UNT/ML [Levemir],Levemir 100 U/ml,2000010918,mimiciv_drug_ndc,Drug,Prescription Drug,19044971,Maps to,Mapped from,insulin detemir 100 UNT/ML [Levemir],Drug,RxNorm,Branded Drug Comp,S
Etomidate,Etomidate,2000010919,mimiciv_drug_ndc,Drug,Prescription Drug,19050488,Maps to,Mapped from,etomidate,Drug,RxNorm,Ingredient,S
adefovir dipivoxil 10 MG [Hepsera],Hepsera 10 mg,2000010920,mimiciv_drug_ndc,Drug,Prescription Drug,40168222,Maps to,Mapped from,adefovir dipivoxil 10 MG [Hepsera],Drug,RxNorm,Branded Drug Comp,S
Carbidopa / entacapone / Levodopa Oral Tablet [Stalevo],Stalevo 150 150 mg,2000010921,mimiciv_drug_ndc,Drug,Prescription Drug,40021515,Maps to,Mapped from,carbidopa / entacapone / levodopa Oral Tablet [Stalevo],Drug,RxNorm,Branded Drug Form,S
Sodium Bicarbonate 500 MG,Sodium Bicarbonate 50MEQ VIAL,2000010922,mimiciv_drug_ndc,Drug,Prescription Drug,939684,Maps to,Mapped from,sodium bicarbonate 500 MG,Drug,RxNorm,Clinical Drug Comp,S
eplerenone 25 MG Oral Tablet [Inspra],Eplerenone (INSPRA) 25 mg tablet,2000010923,mimiciv_drug_ndc,Drug,Prescription Drug,19102209,Maps to,Mapped from,eplerenone 25 MG Oral Tablet [Inspra],Drug,RxNorm,Branded Drug,S
Acetaminophen,Acetaminophen (Rectal),2000010924,mimiciv_drug_ndc,Drug,Prescription Drug,1125315,Maps to,Mapped from,acetaminophen,Drug,RxNorm,Ingredient,S
liothyronine,Liothyronine 10 mcg/ml,2000010925,mimiciv_drug_ndc,Drug,Prescription Drug,1505346,Maps to,Mapped from,liothyronine,Drug,RxNorm,Ingredient,S
Acetaminophen / Aspirin / Caffeine Oral Tablet [Excedrin],Excedrin Extra Strength 1 tab,2000010926,mimiciv_drug_ndc,Drug,Prescription Drug,40003496,Maps to,Mapped from,acetaminophen / aspirin / caffeine Oral Tablet [Excedrin],Drug,RxNorm,Branded Drug Form,S
Chlorpromazine 50 MG,Chlorpromazine 50 mg,2000010927,mimiciv_drug_ndc,Drug,Prescription Drug,40179625,Maps to,Mapped from,chlorpromazine 50 MG,Drug,RxNorm,Clinical Drug Comp,S
vilazodone hydrochloride 40 MG [Viibryd],Viibryd 40mg,2000010928,mimiciv_drug_ndc,Drug,Prescription Drug,40234848,Maps to,Mapped from,vilazodone hydrochloride 40 MG [Viibryd],Drug,RxNorm,Branded Drug Comp,S
Desmopressin Acetate 0.004 MG/ML [DDAVP],Desmopressin Acetate 4MCG/ML; 1ML AMP,2000010929,mimiciv_drug_ndc,Drug,Prescription Drug,19135598,Maps to,Mapped from,desmopressin acetate 0.004 MG/ML [DDAVP],Drug,RxNorm,Branded Drug Comp,S
varenicline 1 MG Oral Tablet,Varenicline 1 mg Tab,2000010930,mimiciv_drug_ndc,Drug,Prescription Drug,780446,Maps to,Mapped from,varenicline 1 MG Oral Tablet,Drug,RxNorm,Clinical Drug,S
exenatide Pen Injector [Byetta],Byetta 10 mcg/0.04 mL per dose Sub-Q Pen Injector,2000010931,mimiciv_drug_ndc,Drug,Prescription Drug,46234122,Maps to,Mapped from,exenatide Pen Injector [Byetta],Drug,RxNorm,Branded Drug Form,S
Propofol,Propofol Diprivan 200mg,2000010932,mimiciv_drug_ndc,Drug,Prescription Drug,753626,Maps to,Mapped from,propofol,Drug,RxNorm,Ingredient,S
coenzyme Q10 200 MG,coenzyme Q10  200mg 200mg,2000010933,mimiciv_drug_ndc,Drug,Prescription Drug,1351161,Maps to,Mapped from,ubidecarenone 200 MG,Drug,RxNorm,Clinical Drug Comp,S
Isotretinoin 20 MG Oral Capsule [Amnesteem],Amnesteem 20 mg Capsule,2000010934,mimiciv_drug_ndc,Drug,Prescription Drug,19102588,Maps to,Mapped from,isotretinoin 20 MG Oral Capsule [Amnesteem],Drug,RxNorm,Branded Drug,S
ranolazine,Ranolazine 250 mg Tablet,2000010935,mimiciv_drug_ndc,Drug,Prescription Drug,1337107,Maps to,Mapped from,ranolazine,Drug,RxNorm,Ingredient,S
candesartan cilexetil 4 MG,Candesartan Cilexetil 4mg Tab,2000010936,mimiciv_drug_ndc,Drug,Prescription Drug,19113470,Maps to,Mapped from,candesartan cilexetil 4 MG,Drug,RxNorm,Clinical Drug Comp,S
Octreotide,Octreotide Acetate,2000010937,mimiciv_drug_ndc,Drug,Prescription Drug,1522957,Maps to,Mapped from,octreotide,Drug,RxNorm,Ingredient,S
moxifloxacin 5 MG/ML [Vigamox],Vigamox 0.5 % Eye Drops,2000010938,mimiciv_drug_ndc,Drug,Prescription Drug,19047817,Maps to,Mapped from,moxifloxacin 5 MG/ML [Vigamox],Drug,RxNorm,Branded Drug Comp,S
Calcium Gluconate 100 MG/ML,Calcium Gluconate 1g/10mL Vial,2000010939,mimiciv_drug_ndc,Drug,Prescription Drug,19037093,Maps to,Mapped from,calcium gluconate 100 MG/ML,Drug,RxNorm,Clinical Drug Comp,S
Tenofovir disoproxil fumarate 300 MG Oral Tablet [Viread],viread 300mg Tab,2000010940,mimiciv_drug_ndc,Drug,Prescription Drug,19098330,Maps to,Mapped from,tenofovir disoproxil fumarate 300 MG Oral Tablet [Viread],Drug,RxNorm,Branded Drug,S
WHEAT DEXTRIN 3000 MG [Benefiber],Benefiber 3gm/dose,2000010941,mimiciv_drug_ndc,Drug,Prescription Drug,1592873,Maps to,Mapped from,wheat dextrin 3000 MG [Benefiber],Drug,RxNorm,Branded Drug Comp,S
Pramipexole dihydrochloride 0.125 MG Oral Tablet [Mirapex],Mirapex 0.125 mg Tab,2000010942,mimiciv_drug_ndc,Drug,Prescription Drug,40165162,Maps to,Mapped from,pramipexole dihydrochloride 0.125 MG Oral Tablet [Mirapex],Drug,RxNorm,Branded Drug,S
sitagliptin 100 MG [Januvia],JANUVIA 100 mg,2000010943,mimiciv_drug_ndc,Drug,Prescription Drug,19125042,Maps to,Mapped from,sitagliptin 100 MG [Januvia],Drug,RxNorm,Branded Drug Comp,S
Niacin 1000 MG [Niaspan],Niaspan 1000 MG,2000010944,mimiciv_drug_ndc,Drug,Prescription Drug,19029132,Maps to,Mapped from,niacin 1000 MG [Niaspan],Drug,RxNorm,Branded Drug Comp,S
Orphenadrine Citrate 100 MG [Norflex],Norflex 100mg,2000010945,mimiciv_drug_ndc,Drug,Prescription Drug,40222972,Maps to,Mapped from,orphenadrine citrate 100 MG [Norflex],Drug,RxNorm,Branded Drug Comp,S
Pimecrolimus Topical Cream,Pimecrolimus 1 % Topical Cream,2000010946,mimiciv_drug_ndc,Drug,Prescription Drug,40119606,Maps to,Mapped from,pimecrolimus Topical Cream,Drug,RxNorm,Clinical Drug Form,S
Vancomycin 250 MG Oral Capsule [Vancocin],Vancocin 250 mg Cap,2000010947,mimiciv_drug_ndc,Drug,Prescription Drug,19025859,Maps to,Mapped from,vancomycin 250 MG Oral Capsule [Vancocin],Drug,RxNorm,Branded Drug,S
"cyclosporine, modified 25 MG",CycloSPORINE Modified (Eon Labs) 25mg,2000010948,mimiciv_drug_ndc,Drug,Prescription Drug,19010558,Maps to,Mapped from,"cyclosporine, modified 25 MG",Drug,RxNorm,Clinical Drug Comp,S
sitagliptin 100 MG [Januvia],Januvia 100 mg,2000010949,mimiciv_drug_ndc,Drug,Prescription Drug,19125042,Maps to,Mapped from,sitagliptin 100 MG [Januvia],Drug,RxNorm,Branded Drug Comp,S
Diltiazem Hydrochloride 300 MG [Cartia],Cartia XT 300mg,2000010950,mimiciv_drug_ndc,Drug,Prescription Drug,19133656,Maps to,Mapped from,diltiazem hydrochloride 300 MG [Cartia],Drug,RxNorm,Branded Drug Comp,S
rivastigmine 0.396 MG/HR [Exelon],Exelon 9.5mg/24 hr,2000010951,mimiciv_drug_ndc,Drug,Prescription Drug,19127050,Maps to,Mapped from,rivastigmine 0.396 MG/HR [Exelon],Drug,RxNorm,Branded Drug Comp,S
Quinacrine 100 MG,Quinacrine (Bulk) 100mg,2000010952,mimiciv_drug_ndc,Drug,Prescription Drug,19084558,Maps to,Mapped from,quinacrine 100 MG,Drug,RxNorm,Clinical Drug Comp,S
levothyroxine,Levothyroxine 37.5 mcg,2000010953,mimiciv_drug_ndc,Drug,Prescription Drug,1501700,Maps to,Mapped from,levothyroxine,Drug,RxNorm,Ingredient,S
Eszopiclone 3 MG [Lunesta],Lunesta 3mg,2000010954,mimiciv_drug_ndc,Drug,Prescription Drug,19113343,Maps to,Mapped from,eszopiclone 3 MG [Lunesta],Drug,RxNorm,Branded Drug Comp,S
Octreotide,Octreotide Acetate 100mcg/mL-1mL,2000010955,mimiciv_drug_ndc,Drug,Prescription Drug,1522957,Maps to,Mapped from,octreotide,Drug,RxNorm,Ingredient,S
Budesonide 0.032 MG/ACTUAT Nasal Spray [Rhinocort],Rhinocort Aqua 32 mcg/Actuation Nasal Spray,2000010956,mimiciv_drug_ndc,Drug,Prescription Drug,19029347,Maps to,Mapped from,budesonide 0.032 MG/ACTUAT Nasal Spray [Rhinocort],Drug,RxNorm,Branded Drug,S
